origem,destino,peso
7i6skfKZnPwTvfEm5Vq7lp,6pMnEX2iBcqQtUyIl1L6Oo,0.304096
7i6skfKZnPwTvfEm5Vq7lp,3bwXXVAgssrfzsJPG8p8TC,0.327416
7i6skfKZnPwTvfEm5Vq7lp,79yxkv3OXHrqvjJkadhOCm,0.369987
7i6skfKZnPwTvfEm5Vq7lp,20hTmPgYgVWwtVgrSr3VFH,0.336905
7i6skfKZnPwTvfEm5Vq7lp,3RkQ3UwOyPqpIiIvGVewuU,0.383907
7i6skfKZnPwTvfEm5Vq7lp,2e3FFYFj3PuH9rMwKmjgYF,0.403257
7i6skfKZnPwTvfEm5Vq7lp,18GiV1BaXzPVYpp9rmOg0E,0.407185
6HSXNV0b4M4cLJ7ljgVVeh,7BD50ATrF3Vab5FQy7vtK8,0.317023
6HSXNV0b4M4cLJ7ljgVVeh,6qc34bnVOyqGDPni8H5W0U,0.295163
6HSXNV0b4M4cLJ7ljgVVeh,3y4LxiYMgDl4RethdzpmNe,0.308452
6HSXNV0b4M4cLJ7ljgVVeh,6QtmvqyqMsEYYXkdxhYATK,0.312014
6HSXNV0b4M4cLJ7ljgVVeh,3ovpz51ql3sXfcDc66DNFb,0.316355
6HSXNV0b4M4cLJ7ljgVVeh,3PB2otu6Z5yToA9irqF1fN,0.326901
6HSXNV0b4M4cLJ7ljgVVeh,0HGpVO2aqh9Dadfs90S1mP,0.326432
6RFxv9iWg8fd6k17W5fV2o,3Brvbk03WC7yu1LgKwWG3L,0.223504
6RFxv9iWg8fd6k17W5fV2o,1a0ro0Q0fbLkGTMucWgFTb,0.282736
6RFxv9iWg8fd6k17W5fV2o,30JEWgciN2BrDSe1uPR7bv,0.24157
6RFxv9iWg8fd6k17W5fV2o,2MkVqeZvoyx6UkRFutiflz,0.269824
6RFxv9iWg8fd6k17W5fV2o,4WZ3liyYz5ZzDcL4ibAuOi,0.283047
6RFxv9iWg8fd6k17W5fV2o,5GBmbWZnre6mK9kCpv1ZEZ,0.29036
6RFxv9iWg8fd6k17W5fV2o,1foBcsKBlS2TvkXexVN91y,0.3047
55ozcvNq4CYnpWRR1Ma7F0,7k50ddcASwxD4nq6cXCEle,0.140647
55ozcvNq4CYnpWRR1Ma7F0,1ERoFNNh3shILiAOFWjlgg,0.140268
55ozcvNq4CYnpWRR1Ma7F0,3ovpz51ql3sXfcDc66DNFb,0.146383
55ozcvNq4CYnpWRR1Ma7F0,7BD50ATrF3Vab5FQy7vtK8,0.174253
55ozcvNq4CYnpWRR1Ma7F0,6qc34bnVOyqGDPni8H5W0U,0.181962
55ozcvNq4CYnpWRR1Ma7F0,1uv9nDXqHJkybUGfVJws3U,0.185439
55ozcvNq4CYnpWRR1Ma7F0,2audluGyqhja0vfNTsyisW,0.197404
7m0ZqFw6SHoAvtEccpMOs3,1vL63FmpGbAEpKCSh7ZsL0,0.244518
7m0ZqFw6SHoAvtEccpMOs3,2EoIt9vdgFRNW03u5IvFsQ,0.239235
7m0ZqFw6SHoAvtEccpMOs3,5lG3i1d8SozygnpVfbEsAg,0.244791
7m0ZqFw6SHoAvtEccpMOs3,2N88n8i3WgXPzelcXpUhm1,0.160667
7m0ZqFw6SHoAvtEccpMOs3,3fgJqcj57xcIJTg5V76tzx,0.23893
7m0ZqFw6SHoAvtEccpMOs3,6u3HTPvOxhVWllNhu07vvA,0.247597
7m0ZqFw6SHoAvtEccpMOs3,4IcLNRtHFMTEAvoLklnZjA,0.254579
