track_id,track_name,artists,track_genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
7g96GMqMFfkrzEvDwSIWzQ,"Failing, Flailing",Streetlight Manifesto,ska,34,0.648,0.896,0.0825,0.0426,2.15e-06,0.0675,0.794,-5.546,137.804
5pqH6aEfTKoFCr7IE6urm3,Mamma Mia (feat. Amber Van Day),HUGEL;Amber Van Day,deep-house,50,0.833,0.826,0.203,0.0958,0.0,0.263,0.565,-6.384,125.885
2s4AbiaTKGrKldnICBxaWW,Promise Me,Dead by April,metalcore,48,0.408,0.939,0.0531,0.000141,0.0,0.143,0.432,-4.993,174.967
6HGoVbCUr63SgU3TjxEVj6,Satisfya,Imran Khan,hip-hop,70,0.726,0.652,0.11,0.00451,3.32e-05,0.226,0.803,-7.764,163.879
2S1IGjykXoLfYNVB9oruBr,Branching Paths,Ichika Nito;Mr. Chase,j-rock,47,0.446,0.579,0.0389,0.247,0.382,0.0886,0.526,-8.442,185.354
3H2cHIeqH79jmFsdiPKRv7,Sigo Acá,Cadena Perpetua,punk-rock,39,0.573,0.805,0.0346,0.00431,7.39e-06,0.139,0.701,-5.94,141.941
1BweuW1Vx7eP6VUSXijezL,Imágenes Paganas,Virus,punk-rock,37,0.567,0.832,0.0333,0.284,0.0791,0.113,0.624,-7.771,130.172
2DGoiBUZSbprAcvGw5l1W7,Every Night,Screeching Weasel,power-pop,23,0.22,0.872,0.0461,0.00048,0.000186,0.0541,0.414,-5.388,177.017
3oZ1DkKe2ZcvPh5Ffv6L0c,a.m.3:21,yama,j-pop,54,0.634,0.736,0.109,0.295,0.00011,0.215,0.752,-5.006,110.169
22aoAzWBmrDlbDLNjTTJ6F,Surgery,Maceo Plex;Johnny Jewel;Glüme,minimal-techno,35,0.851,0.64,0.0472,0.00206,0.654,0.125,0.138,-7.269,124.004
7rwgTaHmd0vgpxcshUNCxD,Drão,Gilberto Gil;Preta Gil,samba,37,0.626,0.286,0.0523,0.777,4.56e-05,0.123,0.242,-11.696,135.701
0sr2pcHb3tnWqIgZU1Urj6,We're All Alone,Rita Coolidge,r-n-b,0,0.332,0.429,0.0287,0.356,3.1e-05,0.0619,0.242,-8.376,128.091
71KtwiEpzcn9WxwlaS7ZJY,Enjoy the Silence - cover version,Lacuna Coil,goth,55,0.503,0.667,0.0285,0.000984,0.027,0.229,0.101,-6.831,113.018
4Qv71lFPCObf7zol1uWCJb,There For You,Gorgon City;MK,deep-house,56,0.533,0.844,0.0302,0.00529,8.91e-05,0.0722,0.712,-5.04,123.971
7jR0ezj19qPMx5Ts9ge9I6,Walk On Water (with RØRY & Dylan Matthew)- Love Is Gone pt. 2,SLANDER;RØRY;Dylan Matthew,dubstep,46,0.474,0.571,0.0397,0.174,0.0,0.142,0.152,-6.671,132.108
6Zpj4XvoH4xNp2wCa6X96y,Dawn (feat. Janai),Stanton Warriors,breakbeat,12,0.686,0.927,0.0398,0.00446,0.57,0.0892,0.313,-4.041,127.002
0uBdQzKghx88d2Lp8SLFKJ,I'm In Love With You,The 1975,alt-rock,78,0.668,0.902,0.0386,0.169,8.74e-05,0.198,0.913,-3.924,119.008
7fxk6qjkQHs66OZcDsEe8K,"Biste braun, kriegste Fraun - Version 2015",Mickie Krause,party,0,0.819,0.708,0.0605,0.0157,8.62e-05,0.081,0.363,-4.706,127.992
1ErVAnzjNvyXSodWbOTYNu,Jacuzzi,Greeicy;Anitta,latin,0,0.821,0.736,0.0669,0.0914,0.0,0.0542,0.941,-4.484,93.008
7GDwYUuvu1qjah9rAH15AH,現代愛情故事,Chilam;Xu Qiu Yi,cantopop,46,0.804,0.529,0.0305,0.277,0.0,0.0916,0.723,-8.57,106.908
6tAWgyIwWB6f1ozhA0tadW,Eden,Monkey Majik,j-rock,48,0.53,0.746,0.0281,0.156,0.0,0.362,0.435,-5.196,84.018
4aA3PDel1koEbggFsSOVKz,Sou um Milagre,Eliana Ribeiro,brazil,43,0.728,0.265,0.0319,0.598,2.39e-06,0.0968,0.309,-14.823,108.112
6Nm4X6HWL4TNSMGClw52Xf,"I Know Where I've Been - from the Netflix Film ""Luckiest Girl Alive""",Elle King,blues,52,0.576,0.513,0.0323,0.208,0.184,0.0879,0.074,-8.541,120.025
3TnVzwHRytGd8Va9jn6Yhs,Final Feliz,Jorge Vercillo;Djavan,pagode,44,0.482,0.588,0.136,0.76,0.0,0.126,0.332,-6.897,88.619
4kflXMtDdukfphfpvp1708,17,Pink Sweat$,soul,62,0.653,0.362,0.0472,0.165,0.000131,0.11,0.268,-8.699,129.854
3iuJytXIDXGbpZbDWxfgHl,Like A Chokeslam,The 20 Belows,power-pop,29,0.488,0.908,0.0597,0.136,0.0,0.123,0.895,-4.991,133.027
6HnC8UJ9WqKUwx3dcha5Md,Colours (ABGT499D3) - Fred Falke Remix,Mat Zo;OLAN;Fred Falke,trance,38,0.647,0.839,0.0395,4.99e-05,0.499,0.202,0.191,-6.864,122.04
2qPNdVlqZl1cYqsNc3MXnA,Sher Aaya Sher,DIVINE;Major C,hip-hop,58,0.832,0.657,0.209,0.0433,2.93e-05,0.0752,0.756,-7.755,104.005
7dtxV1gbo3kWHiBhFywD7v,"14 “Interval” Canons K. 508a/3-8 & K. Deest: Canons Nos. 11-14, K.508a/7-8 & K. Deest",Wolfgang Amadeus Mozart;Karl-Heinz Steffens;Werner Mittelbach;Reinhold Helbich,classical,7,0.33,0.0423,0.0496,0.99,0.868,0.108,0.284,-23.181,86.81
6455q2sm0znfcevxSCzMMW,Say Yes,Cupid,kids,11,0.68,0.616,0.0321,0.00541,0.0,0.136,0.374,-5.955,112.425
7xcqbjV2NfxlnJzqdRuO7E,Odd Look,Kavinsky;The Weeknd,electronic,55,0.627,0.897,0.0504,0.246,0.0,0.117,0.257,-3.647,104.947
5MnLof1o5Wu4hX5zWgMjZY,Wasted,Tomberlin,psych-rock,54,0.766,0.571,0.0385,0.43,0.135,0.142,0.716,-9.764,93.075
2PWTZV5znjLtZC5T1EVJvL,this is what falling in love feels like,JVKE,indie,73,0.422,0.44,0.0544,0.617,0.0,0.0837,0.332,-5.53,128.934
